OBJECTID,County,LocalParcelID,StateParcelID,Name,Situs Address All,Owner All,Mail Address,Mail State,AgencyName,Calculated Acreage,Auditor Link
9134,Hamilton,0160003015700,39061-0160003015700,,,,,,TRANSPORTATION,0.00133977234644881,https://wedge1.hcauditor.org/view/re/0160003015700
9135,Hamilton,1380004020800,39061-1380004020800,,,,,,TRANSPORTATION,0.0352477400335174,https://wedge1.hcauditor.org/view/re/1380004020800
9136,Hamilton,2250003001700,39061-2250003001700,,,,,,ROW,1.09953646772342,https://wedge1.hcauditor.org/view/re/2250003001700
9137,Hamilton,1450004007500,39061-1450004007500,,,,,,ROW,0.0573979072033404,https://wedge1.hcauditor.org/view/re/1450004007500
9138,Hardin,401700060000,39065-401700060000,,,,,,NATURAL RESOURCES,17.3684985236301,
9139,Hardin,401900060000,39065-401900060000,,,,,,NATURAL RESOURCES,24.0766647507605,
9140,Harrison,210000638000,39067-210000638000,,,,,,ROW,0.0820479837036483,
9141,Harrison,170000081000,39067-170000081000,,,,,,NATURAL RESOURCES,4.84348149368665,
9142,Harrison,210000536000,39067-210000536000,,,,,,ROW,1.43316006301666,
9143,Harrison,090000155001,39067-090000155001,,,,,,TRANSPORTATION,5.11043749875657,
9144,Harrison,200000818000,39067-200000818000,,,,,,TRANSPORTATION,1.29618166280088,
9145,Harrison,010000614000,39067-010000614000,,,,,,NATURAL RESOURCES,434.505002786274,
9146,Harrison,170000038000,39067-170000038000,,,,,,NATURAL RESOURCES,183.073181569023,
9147,Harrison,190000063000,39067-190000063000,,,,,,TRANSPORTATION,7.50732001675647,
9148,Henry,263600040201,39069-263600040201,,,,,,TRANSPORTATION,0.597987387269639,
9149,Henry,411100440000,39069-411100440000,,,,,,TRANSPORTATION,0.0299120500941613,
9150,Henry,071200380000,39069-071200380000,,,,,,ROW,0.103833454673443,
